kanaele;filterpapier;zeit_filterpapier;co60;zeit_co60;ba133;zeit_ba133;background;zeit_background
800;466;;124;;4842;;2129;
801;455;;146;;4989;;2096;
802;443;;139;;4468;;2075;
803;431;;136;;3446;;2065;
804;429;;127;;2350;;2069;
805;437;;113;;1411;;2046;
806;438;;138;;813;;2073;
807;422;;145;;470;;2082;
808;435;;134;;274;;2068;
809;475;;128;;173;;2031;
810;459;;123;;122;;2013;
811;452;;127;;90;;2012;
812;431;;117;;73;;2043;
813;417;;118;;86;;2086;
814;440;;138;;51;;2072;
815;420;;139;;77;;1993;
816;438;;127;;67;;1936;
817;452;;133;;80;;2005;
818;438;;127;;63;;2005;
819;416;;133;;58;;2024;
820;439;;142;;59;;2001;
821;409;;124;;60;;2020;
822;401;;122;;53;;2000;
823;396;;128;;47;;2019;
824;419;;136;;43;;2043;
825;452;;139;;43;;2009;
826;430;;129;;42;;2011;
827;391;;115;;42;;1970;
828;378;;128;;53;;1951;
829;404;;117;;53;;1952;
830;420;;122;;50;;1955;
831;384;;129;;52;;1983;
832;420;;126;;57;;1974;
833;389;;122;;59;;1973;
834;441;;122;;49;;1977;
835;408;;136;;51;;1887;
836;383;;120;;63;;1875;
837;402;;122;;68;;2000;
838;417;;132;;112;;1943;
839;375;;128;;177;;1867;
840;401;;126;;288;;1948;
841;396;;133;;450;;1940;
842;421;;121;;650;;1943;
843;415;;135;;807;;1908;
844;411;;131;;841;;1917;
845;439;;133;;840;;1914;
846;437;;124;;700;;1961;
847;442;;133;;495;;1945;
848;423;;124;;337;;1895;
849;391;;121;;189;;1899;
850;411;;123;;120;;1934;
851;396;;129;;88;;1904;
852;428;;136;;52;;1985;
853;415;;134;;37;;1869;
854;373;;127;;41;;1939;
855;396;;132;;33;;1862;
856;359;;140;;38;;1856;
857;395;;127;;33;;1786;
858;377;;142;;26;;1781;
859;392;;130;;38;;1775;
860;395;;137;;32;;1833;
861;363;;116;;31;;1871;
862;381;;120;;30;;1849;
863;380;;121;;25;;1848;
864;414;;133;;33;;1832;
865;391;;129;;36;;1802;
866;384;;121;;30;;1771;
867;399;;124;;35;;1820;
868;385;;123;;36;;1857;
869;369;;132;;31;;1869;
870;394;;138;;32;;1838;
